Direction	Scheme	Target	Peer	BaseChain	TopRuleMatch	TopRuleAction	SecondBaseChain	SecondRuleMatch	SecondRuleAction	ThirdBaseChain	ThirdRuleMatch	ThirdRuleAction	FourthBaseChain	FourthRuleMatch	FourthRuleAction
api.PolicyDirectionEgress	SchemePolicyOnTop	TargetTenant	PeerAny	firewall.ChainNameEndpointEgress	MatchEndpoint("")	MakeRomanaPolicyName	MakeRomanaPolicyName	MakeSrcTenantMatch	MakeRomanaPolicyNameExtended	MakeRomanaPolicyNameExtended	MatchEndpoint("")	MakeRomanaPolicyNameRules	MakeRomanaPolicyNameRules	MakePolicyRuleWithAction	DROP
api.PolicyDirectionIngress	SchemeTargetOnTop	TargetTenant	PeerAny	firewall.ChainNameEndpointIngress	MakeDstTenantMatch	MakeRomanaPolicyName	MatchPolicyString("")	MatchEndpoint("")	MatchPolicyString("")	MakeRomanaPolicyName	MatchEndpoint("")	MakeRomanaPolicyNameRules	MakeRomanaPolicyNameRules	MakePolicyRuleWithAction	ACCEPT
api.PolicyDirectionEgress	SchemeTargetOnTop	TargetTenant	PeerAny	firewall.ChainNameEndpointEgress	MakeSrcTenantMatch	MakeRomanaPolicyName	MatchPolicyString("")	MatchEndpoint("")	MatchPolicyString("")	MakeRomanaPolicyName	MatchEndpoint("")	MakeRomanaPolicyNameRules	MakeRomanaPolicyNameRules	MakePolicyRuleWithAction	DROP
api.PolicyDirectionIngress	SchemePolicyOnTop	TargetTenantSegment	PeerLabel	firewall.ChainNameEndpointIngress	MatchEndpoint("")	MakeRomanaPolicyName	MakeRomanaPolicyName	MakeDstTenantSegmentMatch	MakeRomanaPolicyNameExtended	MakeRomanaPolicyNameExtended	MakeLabelMatchSrc	MakeRomanaPolicyNameRules	MakeRomanaPolicyNameRules	MakePolicyRuleWithAction	ACCEPT
api.PolicyDirectionEgress	SchemePolicyOnTop	TargetTenantSegment	PeerLabel	firewall.ChainNameEndpointEgress	MatchEndpoint("")	MakeRomanaPolicyName	MakeRomanaPolicyName	MakeSrcTenantSegmentMatch	MakeRomanaPolicyNameExtended	MakeRomanaPolicyNameExtended	MakeLabelMatchDst	MakeRomanaPolicyNameRules	MakeRomanaPolicyNameRules	MakePolicyRuleWithAction	DROP
api.PolicyDirectionIngress	SchemeTargetOnTop	TargetTenantSegment	PeerLabel	firewall.ChainNameEndpointIngress	MakeDstTenantSegmentMatch	MakeRomanaPolicyName	MatchPolicyString("")	MatchEndpoint("")	MatchPolicyString("")	MakeRomanaPolicyName	MakeLabelMatchSrc	MakeRomanaPolicyNameRules	MakeRomanaPolicyNameRules	MakePolicyRuleWithAction	ACCEPT
api.PolicyDirectionEgress	SchemeTargetOnTop	TargetTenantSegment	PeerLabel	firewall.ChainNameEndpointEgress	MakeSrcTenantSegmentMatch	MakeRomanaPolicyName	MatchPolicyString("")	MatchEndpoint("")	MatchPolicyString("")	MakeRomanaPolicyName	MakeLabelMatchDst	MakeRomanaPolicyNameRules	MakeRomanaPolicyNameRules	MakePolicyRuleWithAction	DROP
api.PolicyDirectionIngress	SchemePolicyOnTop	TargetTenantSegment	PeerAny	firewall.ChainNameEndpointIngress	MatchEndpoint("")	MakeRomanaPolicyName	MakeRomanaPolicyName	MakeDstTenantSegmentMatch	MakeRomanaPolicyNameExtended	MakeRomanaPolicyNameExtended	MatchEndpoint("")	MakeRomanaPolicyNameRules	MakeRomanaPolicyNameRules	MakePolicyRuleWithAction	ACCEPT
api.PolicyDirectionEgress	SchemePolicyOnTop	TargetTenantSegment	PeerAny	firewall.ChainNameEndpointEgress	MatchEndpoint("")	MakeRomanaPolicyName	MakeRomanaPolicyName	MakeSrcTenantSegmentMatch	MakeRomanaPolicyNameExtended	MakeRomanaPolicyNameExtended	MatchEndpoint("")	MakeRomanaPolicyNameRules	MakeRomanaPolicyNameRules	MakePolicyRuleWithAction	DROP
api.PolicyDirectionIngress	SchemeTargetOnTop	TargetTenantSegment	PeerAny	firewall.ChainNameEndpointIngress	MakeDstTenantSegmentMatch	MakeRomanaPolicyName	MatchPolicyString("")	MatchEndpoint("")	MatchPolicyString("")	MakeRomanaPolicyName	MatchEndpoint("")	MakeRomanaPolicyNameRules	MakeRomanaPolicyNameRules	MakePolicyRuleWithAction	ACCEPT
